,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention,ratio
1033,dayjs,https://github.com/iamkun/dayjs,JavaScript,MIT License,33087,33,0,232,6,3.8,29,280,182,2.7,1944,0.6843199999999999,angular,0.89
1037,webpack.js.org,https://github.com/webpack/webpack.js.org,JavaScript,Creative Commons Attribution 4.0 International,1928,55,0,1058,10,10.8,2,402,351,2.2,98,0.68412,angular,0.92
1047,loopback-next,https://github.com/strongloop/loopback-next,TypeScript,Other,3328,49,0,183,7,40.7,1233,784,469,1.2,224,0.6835,angular,0.99
1070,vant,https://github.com/youzan/vant,JavaScript,MIT License,16386,49,0,171,4,48.8,65,659,644,1.8,374,0.68198,angular,0.95
1073,socket.io,https://github.com/socketio/socket.io,JavaScript,MIT License,52145,132,0,176,9,1.6,11,108,66,2.4,1752,0.68152,angular,0.99
1074,aks-engine,https://github.com/Azure/aks-engine,Go,MIT License,809,57,0,339,7,16.9,27,313,261,2.4,89,0.68138,angular,0.99
1078,pgjdbc,https://github.com/pgjdbc/pgjdbc,Java,"BSD 2-Clause ""Simplified"" License",905,285,0,235,7,3.7,6,190,54,2.2,1992,0.6812199999999999,angular,0.57
1098,hospitalrun-frontend,https://github.com/HospitalRun/hospitalrun-frontend,TypeScript,MIT License,5645,82,0,240,8,18.5,5,147,103,3.0,341,0.6803100000000001,angular,0.53
1106,js-ipfs,https://github.com/ipfs/js-ipfs,JavaScript,Other,4879,81,1,223,8,10.9,182,238,159,1.6,689,0.68002,angular,0.95
1111,vega-lite,https://github.com/vega/vega-lite,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",3080,75,0,154,7,17.4,36,292,240,1.0,689,0.6797300000000001,angular,0.99
1115,platform,https://github.com/ngrx/platform,TypeScript,Other,6569,48,0,308,10,5.6,16,174,129,2.1,410,0.67942,angular,0.95
1126,dom-testing-library,https://github.com/testing-library/dom-testing-library,JavaScript,MIT License,2421,34,0,150,9,4.4,109,101,70,4.0,942,0.67881,angular,0.95
1137,incubator-echarts,https://github.com/apache/incubator-echarts,TypeScript,Apache License 2.0,44342,94,0,144,4,22.4,12,1008,544,1.6,751,0.6782,angular,0.57
1157,react-testing-library,https://github.com/testing-library/react-testing-library,JavaScript,MIT License,13510,34,1,155,9,2.1,37,94,88,3.3,4766,0.67698,angular,0.98
1162,prisma,https://github.com/prisma/prisma,TypeScript,Apache License 2.0,7254,21,0,113,4,49.3,49,1219,669,1.3,1990,0.67674,angular,0.97
1169,hexo,https://github.com/hexojs/hexo,JavaScript,MIT License,31946,101,0,174,7,4.7,8,114,74,1.3,4651,0.67637,angular,0.61
1184,jsii,https://github.com/aws/jsii,TypeScript,Apache License 2.0,987,40,0,53,6,17.6,26,324,282,2.0,3250,0.67592,angular,0.93
1187,pipelines,https://github.com/kubeflow/pipelines,Python,Apache License 2.0,1940,33,0,202,2,19.5,26,679,323,3.4,1438,0.67566,angular,0.79
1193,ionic-native,https://github.com/ionic-team/ionic-native,TypeScript,Other,2038,63,1,664,10,3.6,16,100,52,0.8,1591,0.6752100000000001,angular,0.82
1202,react-navigation,https://github.com/react-navigation/react-navigation,TypeScript,,19196,48,1,97,7,11.2,635,553,396,2.4,1362,0.67487,angular,1.0
1206,node-mongodb-native,https://github.com/mongodb/node-mongodb-native,JavaScript,Apache License 2.0,8830,134,1,408,7,5.6,17,138,128,0.4,2499,0.67473,angular,1.0
1214,jest-dom,https://github.com/testing-library/jest-dom,JavaScript,MIT License,2130,34,0,73,10,1.4,25,42,30,2.9,12981,0.67409,angular,0.92
1216,snyk,https://github.com/snyk/snyk,TypeScript,Other,2693,63,1,125,3,10.4,295,132,100,1.9,18615,0.67402,angular,0.55
1225,jumpserver,https://github.com/jumpserver/jumpserver,Python,GNU General Public License v2.0,14932,79,1,119,4,14.4,29,740,605,0.6,6263,0.67369,angular,0.85
1234,universal,https://github.com/angular/universal,TypeScript,MIT License,3706,68,0,101,7,5.1,22,133,101,1.5,3832,0.67301,angular,0.96
1244,feathers,https://github.com/feathersjs/feathers,TypeScript,MIT License,13083,112,0,185,8,2.7,14,143,120,1.4,1347,0.67255,angular,1.0
1261,umi,https://github.com/umijs/umi,TypeScript,MIT License,9772,38,0,278,8,12.0,71,642,436,1.5,153,0.6715800000000001,angular,0.7
1276,deck,https://github.com/spinnaker/deck,TypeScript,Apache License 2.0,243,80,0,286,5,21.4,304,190,173,0.7,540,0.67109,angular,0.98
1278,hyper,https://github.com/hyperium/hyper,Rust,MIT License,7349,77,0,276,9,2.2,11,115,89,1.9,921,0.67086,angular,0.89
1292,theme-ui,https://github.com/system-ui/theme-ui,TypeScript,MIT License,3336,22,0,111,7,16.7,75,361,292,2.2,1013,0.67043,angular,0.62
1302,spotbugs,https://github.com/spotbugs/spotbugs,Java,GNU Lesser General Public License v2.1,2146,217,0,133,6,4.9,17,90,58,1.5,2660,0.66984,angular,0.78
1304,pro-components,https://github.com/ant-design/pro-components,TypeScript,,859,42,0,318,4,20.9,205,1031,930,2.6,78,0.66971,angular,0.78
1321,camunda-bpm-platform,https://github.com/camunda/camunda-bpm-platform,Java,Apache License 2.0,1781,129,0,246,3,16.9,9,222,180,0.6,3693,0.66856,angular,0.9
1347,outline,https://github.com/outline/outline,JavaScript,Other,10501,59,0,51,8,10.3,23,190,140,1.4,3137,0.66737,angular,0.78
1349,angular.js,https://github.com/angular/angular.js,JavaScript,MIT License,59587,621,2,1845,5,1.2,4,36,29,0.6,13430,0.66733,angular,0.99
1374,uno,https://github.com/unoplatform/uno,C#,Other,4290,32,0,181,5,65.9,9,838,480,3.0,136,0.6663,angular,0.76
1383,kubernetes-client,https://github.com/fabric8io/kubernetes-client,Java,Apache License 2.0,1667,67,0,223,4,10.0,18,280,191,2.8,429,0.66598,angular,0.69
1391,clouddriver,https://github.com/spinnaker/clouddriver,Groovy,Apache License 2.0,277,108,0,305,5,15.7,35,201,186,1.1,183,0.66565,angular,0.93
1404,node-ytdl-core,https://github.com/fent/node-ytdl-core,JavaScript,MIT License,2087,103,0,71,4,5.3,48,155,141,4.1,1096,0.66496,angular,1.0
1411,vuex,https://github.com/vuejs/vuex,JavaScript,MIT License,25490,67,0,311,7,2.1,14,112,81,1.4,1636,0.66471,angular,0.88
1415,pnpm,https://github.com/pnpm/pnpm,TypeScript,MIT License,9427,60,0,78,8,18.9,109,199,110,1.9,494,0.66465,angular,0.94
1431,open-wc,https://github.com/open-wc/open-wc,JavaScript,MIT License,1357,28,0,157,6,14.5,38,193,162,1.8,1067,0.66372,angular,0.77
1437,berry,https://github.com/yarnpkg/berry,TypeScript,"BSD 2-Clause ""Simplified"" License",2766,29,0,173,9,16.9,331,514,395,2.3,92,0.6632399999999999,angular,0.52
1441,react-use,https://github.com/streamich/react-use,TypeScript,The Unlicense,17838,27,0,161,10,16.3,52,227,146,0.4,1373,0.6631,angular,0.8
1467,validator.js,https://github.com/validatorjs/validator.js,JavaScript,MIT License,16922,125,1,354,11,2.9,4,143,98,2.7,412,0.66199,angular,0.91
1485,azerothcore-wotlk,https://github.com/azerothcore/azerothcore-wotlk,C++,Other,1254,55,0,177,4,21.1,1,1089,596,2.1,1832,0.6611199999999999,angular,0.92
1494,vue-test-utils,https://github.com/vuejs/vue-test-utils,JavaScript,MIT License,3179,44,0,260,7,3.1,10,73,57,2.4,1866,0.6607,angular,0.72
1515,user-event,https://github.com/testing-library/user-event,JavaScript,MIT License,1046,28,1,70,10,4.0,75,94,63,3.1,4844,0.6594300000000001,angular,0.96
1529,vee-validate,https://github.com/logaretm/vee-validate,TypeScript,MIT License,8178,54,0,283,5,13.7,55,186,180,1.8,212,0.65871,angular,0.91
1532,wiki,https://github.com/Requarks/wiki,Vue,GNU Affero General Public License v3.0,11954,53,0,114,9,8.6,19,366,190,1.5,428,0.65851,angular,0.94
1540,eslint-plugin-jest,https://github.com/jest-community/eslint-plugin-jest,TypeScript,MIT License,672,49,0,94,6,3.6,28,71,55,1.0,12526,0.65799,angular,1.0
1553,dgraph,https://github.com/dgraph-io/dgraph,Go,Other,14586,65,0,183,3,24.7,43,661,617,0.6,776,0.65749,angular,0.6
1554,edusoho,https://github.com/edusoho/edusoho,JavaScript,,1445,91,1,255,3,57.8,79,9,0,0.4,28541,0.65746,angular,0.58
1556,jina,https://github.com/jina-ai/jina,Python,Apache License 2.0,1847,11,0,81,4,71.2,21,621,575,2.6,1066,0.6574,angular,0.94
